S.no,Police_Station,District
1,Agar,Agar Malwa
2,Barod,Agar Malwa
3,Kanad,Agar Malwa
4,Nalkheda,Agar Malwa
5,Soyat,Agar Malwa
6,Susner,Agar Malwa
7,Alirajpur,Alirajpur
8,Ambua,Alirajpur
9,Azad Nagar Alirajpur,Alirajpur
10,Bakhatgarh,Alirajpur
11,Bori,Alirajpur
12,Chandpur,Alirajpur
13,Jobat,Alirajpur
14,Kathiwara,Alirajpur
15,Nanpur,Alirajpur
16,Sondwa,Alirajpur
17,Sorwa,Alirajpur
18,Udaigarh,Alirajpur
19,Amarkantak,Anuppur
20,Anuppur,Anuppur
21,Bhalumada,Anuppur
22,Bijuri,Anuppur
23,Chachai,Anuppur
24,Jethari,Anuppur
25,Karanpathar,Anuppur
26,Kotma,Anuppur
27,Rajendragram,Anuppur
28,Ramnagar Anuppur,Anuppur
29,Bahadurpur,Ashok Nagar
30,Chanderi,Ashok Nagar
31,Dehat Ashok Nagar,Ashok Nagar
32,Isagarh,Ashok Nagar
33,Kachnar,Ashok Nagar
34,Kadwaya,Ashok Nagar
35,Kotwali Ashok Nagar,Ashok Nagar
36,Mungawali,Ashok Nagar
37,Naisarai,Ashok Nagar
38,Piprai,Ashok Nagar
39,Sadora,Ashok Nagar
40,Saharai,Ashok Nagar
41,Bahela,Balaghat
42,Baihar,Balaghat
43,Bharveli,Balaghat
44,Birsa,Balaghat
45,Changotola,Balaghat
46,Garhi,Balaghat
47,Hatta Balaghat,Balaghat
48,Katangi Balaghat,Balaghat
49,Kherlauji,Balaghat
50,Kirnapur,Balaghat
51,Kotwali Balaghat,Balaghat
52,Lalburra,Balaghat
53,Lamta,Balaghat
54,Lanji,Balaghat
55,Malazkhand,Balaghat
56,Navegaon (Gramin),Balaghat
57,Paraswara,Balaghat
58,Rampayali,Balaghat
59,Rupjhar,Balaghat
60,Tirodi,Balaghat
61,Waraseoni,Balaghat
62,Anjad,Barwani
63,Barwani,Barwani
64,Dehat Sendhwa,Barwani
65,Julwaniya,Barwani
66,Khetia,Barwani
67,Nagalwadi,Barwani
68,Niwali,Barwani
69,Palsood,Barwani
70,Pansemal,Barwani
71,Pati,Barwani
72,Rajpur,Barwani
73,Sendhwa City,Barwani
74,Silawad,Barwani
75,Thikri,Barwani
